IDFEMP | DATEMS | NOTFIC | STAPRE
0018 | 20250623 | U07109699 | 101
0029 | 20250623 | U01085170 | 101
0092 | 20250623 | U03035022 | 101
0003 | 20250623 | U10135022 | 101
0018 | 20250623 | U07109708 | 101
0071 | 20250623 | U05037117 | 101
0025 | 20250623 | U08032618 | 101
0115 | 20250623 | U02019644 | 101
0114 | 20250623 | U03020575 | 101
0005 | 20250624 | U01702221 | 101
0005 | 20250624 | U01702248 | 101
0019 | 20250624 | U14119787 | 101
0071 | 20250624 | U07019733 | 101
0032 | 20250624 | U08122272 | 101
0029 | 20250625 | U14016909 | 101
0001 | 20250625 | U01216091 | 101
0022 | 20250625 | U02052924 | 101
0001 | 20250625 | U01216187 | 101
0001 | 20250625 | U01216213 | 101
0032 | 20250625 | U07127137 | 101
0022 | 20250625 | U01042360 | 101
0005 | 20250625 | U01702327 | 101
0005 | 20250625 | U01702332 | 101
0089 | 20250625 | U05117145 | 101
0022 | 20250625 | U02052939 | 101
0089 | 20250625 | U03127099 | 101
0003 | 20250625 | U10135086 | 101
0002 | 20250625 | U01675915 | 101
0101 | 20250625 | U03044490 | 101
0025 | 20250625 | U08032635 | 101
0056 | 20250625 | U06039824 | 101
0022 | 20250625 | U01042378 | 101
0004 | 20250626 | U12069831 | 101
0005 | 20250626 | U01702367 | 101
0022 | 20250626 | U01042410 | 101
0114 | 20250626 | U02022082 | 101
0002 | 20250626 | U01675983 | 101
0002 | 20250626 | U01675984 | 101
0022 | 20250626 | U02052959 | 101
0019 | 20250626 | U14119827 | 101
0004 | 20250626 | U11054850 | 101
0029 | 20250626 | U08052279 | 101
0089 | 20250626 | U05117188 | 101
0101 | 20250626 | U01048222 | 101
